id,direction,model_label,use_pivot_english,latency_ms,request_error,source,reference,hypothesis,explanation,explanation_nonempty,explanation_language_ok,hints_count,hints_nonempty,hints_language_ok,grammar_count,grammar_language_ok,support_ok,expected_keyword_coverage,bleu,chrf,rouge_l,language_ok,copied_source,line_count_match,length_ratio
frja-001,fr-ja,qwen2.5-7b,True,84914.0,,"Bonjour, comment vas-tu ?",こんにちは、お元気ですか？,こんにちは、どのようにお過ごしですか？,"Ce gérant japonais traduit en anglais de manière polie par 'Hello, how are you?'.",True,True,1,1,True,1,False,False,0.3333333333333333,11.808429434786483,34.895001111511334,0.6875,True,False,True,1.4615384615384615
frja-002,fr-ja,qwen2.5-7b,True,87739.0,,Je suis etudiant a l'universite de Tsukuba.,私は筑波大学の学生です。,私はスチューデントです。スチューダーの大学院生です。,"Cette phrase en japonais traduit la phrase française fournie en anglais, conservant le même sens.",True,True,2,2,True,1,True,True,0.0,11.808429434786483,34.895001111511334,0.42105263157894735,True,False,True,2.1666666666666665
frja-003,fr-ja,qwen2.5-7b,True,125617.0,,"Il pleut beaucoup aujourd'hui, prends un parapluie.",今日は雨がたくさん降っているので、傘を持っていって。,雨が強く降る今日、傘を取ってください。,La phrase indique que quelqu'un doit prendre une paire de gants car il pleut très fort aujourd'hui.,True,True,2,2,True,1,True,True,0.0,11.808429434786483,34.895001111511334,0.5333333333333333,True,False,True,0.7307692307692307
frja-004,fr-ja,qwen2.5-7b,True,63191.0,,J'aime apprendre le japonais parce que c'est difficile.,日本語を学ぶのが好きです。難しいからです。,私は日本語を学ぶのが好きです。それは難しいです。,"Cette phrase exprime un penchant personnel pour apprendre le japonais, car elle est considérée comme une tâche difficile.",True,True,2,2,True,1,True,True,0.0,11.808429434786483,34.895001111511334,0.8444444444444444,True,False,True,1.1428571428571428
frja-005,fr-ja,qwen2.5-7b,True,145712.0,,"Si tu as du temps, viens demain.",時間があれば、明日来てください。,また明日に来てください。,"Cette phrase japonaise traduit le français 'Si tu as du temps, viens demain.' en anglais pour dire 'Reviens demain si tu as de la place'。",True,True,1,1,True,2,True,True,0.3333333333333333,11.808429434786483,34.895001111511334,0.6428571428571429,True,False,True,0.75
frja-006,fr-ja,qwen2.5-7b,True,144250.0,,Je n'ai pas encore fini le rapport.,まだレポートが終わっていません。,私は報告をまだ完成していません。,Cette phrase est en français et signifie 'j'ai pas encore terminé le rapport'.,True,True,2,2,True,3,True,True,0.3333333333333333,11.808429434786483,34.895001111511334,0.5,True,False,True,1.0
frja-007,fr-ja,qwen2.5-7b,True,143636.0,,Peux-tu parler plus lentement ?,もう少しゆっくり話してもらえますか？,はっきりとゆっくり話してください。,"Cette phrase traduit directement le texte en français, demandant aux locuteurs de parler clairement et lentement.",True,True,2,2,True,2,True,True,0.0,11.808429434786483,34.895001111511334,0.39999999999999997,True,False,True,0.9444444444444444
frja-008,fr-ja,qwen2.5-7b,True,171218.0,,Il faut etudier chaque jour.,毎日勉強しなければなりません。,毎日勉強してください。,Cette phrase japonaise traduit la recommandation française 'Il faut etudier chaque jour' pour dire 'étudie tous les jours'.,True,True,1,1,False,3,False,False,0.0,11.808429434786483,34.895001111511334,0.4615384615384615,True,False,True,0.7333333333333333
frja-009,fr-ja,qwen2.5-7b,True,207084.0,,Ce livre est plus interessant que celui-la.,この本はあの本より面白いです。,この本はそれよりも興味深いです。,Cette phrase utilise le comparatif en japonais pour exprimer que « ce livre » est plus intéressant que « celui-ci ».,True,True,1,1,False,2,False,False,0.6666666666666666,11.808429434786483,34.895001111511334,0.6451612903225806,True,False,True,1.0666666666666667
frja-010,fr-ja,qwen2.5-7b,True,50404.0,,J'ai oublie mon portefeuille dans le train.,電車に財布を忘れました。,忘却したのは、列車で落としたウォレットです。,La phrase est traduite directement du français au japonais en conservant la même signification.,True,True,1,1,True,2,True,True,0.0,11.808429434786483,34.895001111511334,0.23529411764705885,True,False,True,1.8333333333333333
